date;marketplace;brand;campaign_type;impressions;clicks;orders;spend
2025-07-22;Яндекс Маркет;ДетиНеВыносят;Каталог;186409;11916;443;393228
2025-04-12;Ozon;ДетиПоносят;Продвижение карточки;168412;4805;371;144150
2025-10-19;Яндекс Маркет;ДетиПоносят;Брендовая реклама;127592;9715;762;485750
2025-05-19;Яндекс Маркет;ДетиПоносят;Каталог;35937;725;91;34075
2025-02-08;Wildberries;ДетиПоносят;Поиск;20582;1569;94;97278
2025-04-22;Lamoda;ДетиНеВыносят;Каталог;10305;642;48;16692
2025-08-17;Ozon;ДетиНеВыносят;Каталог;47124;3757;253;63869
2025-09-15;Lamoda;ДетиПоносят;Брендовая реклама;15364;162;6;4536
2025-03-21;Ozon;ДетиНеВыносят;Продвижение карточки;185154;14640;1958;263520
2025-07-29;Яндекс Маркет;ДетиПоносят;Продвижение карточки;150096;6909;400;442176
2025-04-14;Wildberries;ДетиНосят;Поиск;122714;2124;219;38232
2025-06-06;Wildberries;ДетиНосят;Авто-реклама;26941;527;71;18972
2025-12-16;Wildberries;ДетиНеВыносят;Каталог;4986;75;7;5775
2025-04-08;Lamoda;ДетиНосят;Каталог;123877;1280;154;32000
2025-12-11;Wildberries;ДетиПоносят;Брендовая реклама;101049;3001;189;189063
2025-05-05;Wildberries;ДетиНеВыносят;Поиск;17970;419;27;21788
2025-09-23;Wildberries;ДетиНеВыносят;Поиск;56787;2793;193;80997
2025-04-01;Wildberries;ДетиНосят;Брендовая реклама;33417;2381;321;173813
2025-10-01;Lamoda;ДетиНеВыносят;Брендовая реклама;167580;8663;640;580421
2025-04-13;Ozon;ДетиНосят;Брендовая реклама;117726;1185;92;81765
2025-09-20;Wildberries;ДетиНеВыносят;Брендовая реклама;109721;4741;630;365057
2025-01-30;Lamoda;ДетиПоносят;Поиск;137037;3953;343;130449
2025-01-08;Ozon;ДетиНеВыносят;Поиск;83756;4009;198;272612
2025-08-11;Ozon;ДетиПоносят;Авто-реклама;66499;4339;479;173560
2025-12-12;Ozon;ДетиНосят;Продвижение карточки;188094;7596;629;182304
2025-05-22;Яндекс Маркет;ДетиПоносят;Поиск;13934;398;33;14328
2025-08-11;Яндекс Маркет;ДетиНосят;Авто-реклама;166710;3154;465;59926
2025-09-19;Ozon;ДетиНосят;Продвижение карточки;99253;7601;1089;516868
2025-11-11;Wildberries;ДетиНеВыносят;Продвижение карточки;130236;9291;823;715407
2025-03-26;Lamoda;ДетиНосят;Брендовая реклама;177859;5444;699;206872
2025-12-24;Lamoda;ДетиНеВыносят;Продвижение карточки;20465;209;6;3971
2025-09-01;Lamoda;ДетиНеВыносят;Авто-реклама;106613;7792;900;241552
2025-11-21;Wildberries;ДетиНосят;Авто-реклама;172553;13776;776;1033200
2025-08-14;Lamoda;ДетиПоносят;Брендовая реклама;10170;696;92;54288
2025-10-19;Wildberries;ДетиПоносят;Продвижение карточки;41975;1941;262;93168
2025-12-15;Яндекс Маркет;ДетиНеВыносят;Продвижение карточки;63681;3725;490;186250
2025-08-21;Яндекс Маркет;ДетиПоносят;Авто-реклама;83041;4442;508;222100
2025-06-12;Lamoda;ДетиНосят;Брендовая реклама;195446;10045;1311;150675
2025-12-23;Lamoda;ДетиПоносят;Продвижение карточки;136743;3378;124;256728
2025-04-07;Ozon;ДетиНеВыносят;Авто-реклама;37761;1059;47;50832
2025-11-24;Lamoda;ДетиНосят;Продвижение карточки;21729;1394;64;68306
2025-07-03;Lamoda;ДетиНосят;Каталог;6028;341;31;20119
2025-12-26;Lamoda;ДетиНеВыносят;Каталог;59576;4099;155;180356
2025-03-13;Ozon;ДетиНосят;Брендовая реклама;69623;2277;231;88803
2025-10-01;Lamoda;ДетиНосят;Авто-реклама;191620;5046;366;373404
2025-10-14;Wildberries;ДетиНосят;Брендовая реклама;87615;5638;173;321366
2025-10-19;Wildberries;ДетиПоносят;Продвижение карточки;139900;5787;433;277776
2025-02-24;Lamoda;ДетиПоносят;Продвижение карточки;156213;7407;410;562932
2025-04-16;Lamoda;ДетиНосят;Продвижение карточки;78045;5909;339;389994
2025-05-10;Ozon;ДетиНосят;Поиск;58124;1619;183;72855
2025-08-10;Яндекс Маркет;ДетиНосят;Авто-реклама;109163;3862;562;200824
2025-03-30;Ozon;ДетиНосят;Брендовая реклама;147240;10822;376;595210
2025-04-13;Wildberries;ДетиНеВыносят;Авто-реклама;61951;810;30;63180
2025-07-16;Wildberries;ДетиНосят;Каталог;191979;15135;779;741615
2025-07-09;Wildberries;ДетиНеВыносят;Авто-реклама;23545;1741;174;69640
2025-05-26;Яндекс Маркет;ДетиПоносят;Поиск;24039;289;17;22542
2025-11-03;Яндекс Маркет;ДетиНеВыносят;Поиск;68088;2722;213;46274
2025-08-26;Lamoda;ДетиПоносят;Брендовая реклама;40134;1252;126;97656
2025-06-27;Ozon;ДетиПоносят;Продвижение карточки;69608;3901;548;261367
2025-04-12;Lamoda;ДетиНосят;Каталог;85834;2441;246;175752
2025-08-27;Ozon;ДетиНеВыносят;Каталог;111449;5805;250;145125
2025-05-09;Wildberries;ДетиПоносят;Каталог;115921;8096;1129;388608
2025-06-06;Яндекс Маркет;ДетиПоносят;Поиск;111184;6414;291;500292
2025-05-07;Яндекс Маркет;ДетиНосят;Продвижение карточки;113151;4424;238;132720
2025-05-27;Яндекс Маркет;ДетиНосят;Поиск;177100;11756;1129;869944
2025-12-08;Lamoda;ДетиНеВыносят;Авто-реклама;75096;1936;276;79376
2025-10-04;Wildberries;ДетиНеВыносят;Авто-реклама;1259;45;3;2520
2025-10-12;Ozon;ДетиНосят;Брендовая реклама;190596;5521;783;314697
2025-01-29;Lamoda;ДетиНосят;Каталог;127960;9630;724;491130
2025-10-23;Lamoda;ДетиНеВыносят;Брендовая реклама;189005;3099;248;216930
2025-06-01;Яндекс Маркет;ДетиНеВыносят;Авто-реклама;155204;1684;131;60624
2025-06-17;Lamoda;ДетиНосят;Брендовая реклама;164756;7307;271;270359
2025-07-28;Lamoda;ДетиНеВыносят;Продвижение карточки;77100;2669;264;56049
2025-11-08;Lamoda;ДетиНеВыносят;Продвижение карточки;76260;6094;682;438768
2025-02-08;Wildberries;ДетиНосят;Каталог;105600;5104;414;239888
2025-11-23;Wildberries;ДетиНосят;Каталог;136046;10035;777;672345
2025-04-27;Wildberries;ДетиНеВыносят;Брендовая реклама;92836;3732;518;197796
2025-02-28;Wildberries;ДетиПоносят;Авто-реклама;108239;3809;216;57135
2025-09-05;Яндекс Маркет;ДетиНеВыносят;Продвижение карточки;136218;5520;798;391920
2025-07-15;Ozon;ДетиНеВыносят;Каталог;26641;817;112;26961
2025-08-20;Wildberries;ДетиПоносят;Поиск;52429;1867;217;143759
2025-02-14;Wildberries;ДетиНосят;Каталог;40958;1519;79;15190
2025-11-16;Яндекс Маркет;ДетиНеВыносят;Каталог;8885;690;40;37950
2025-02-24;Яндекс Маркет;ДетиНосят;Продвижение карточки;179603;8787;1019;149379
2025-09-08;Lamoda;ДетиПоносят;Каталог;64737;814;46;21978
2025-12-30;Lamoda;ДетиНеВыносят;Брендовая реклама;145926;7308;783;109620
2025-01-07;Wildberries;ДетиНосят;Поиск;122931;8400;1164;420000
2025-08-25;Wildberries;ДетиНосят;Брендовая реклама;105064;3687;514;243342
2025-12-05;Яндекс Маркет;ДетиПоносят;Продвижение карточки;64225;1931;236;54068
2025-11-08;Ozon;ДетиПоносят;Авто-реклама;135983;8705;806;252445
2025-06-15;Яндекс Маркет;ДетиНосят;Поиск;160410;2568;150;51360
2025-06-01;Lamoda;ДетиНосят;Авто-реклама;185741;2753;359;143156
2025-02-20;Яндекс Маркет;ДетиНосят;Каталог;68894;3158;468;135794
2025-10-22;Wildberries;ДетиНосят;Продвижение карточки;141832;2764;147;221120
2025-06-01;Ozon;ДетиНосят;Поиск;194922;12450;1116;423300
2025-08-28;Яндекс Маркет;ДетиНеВыносят;Брендовая реклама;190470;14802;505;873318
2025-11-28;Lamoda;ДетиНеВыносят;Брендовая реклама;150819;2566;189;128300
2025-12-15;Ozon;ДетиНеВыносят;Каталог;73210;2362;329;174788
2025-09-06;Lamoda;ДетиНеВыносят;Авто-реклама;37490;2122;97;120954
2025-01-21;Lamoda;ДетиНосят;Каталог;9111;697;93;8364
2025-05-02;Яндекс Маркет;ДетиНосят;Продвижение карточки;73368;1388;161;47192
2025-12-24;Ozon;ДетиПоносят;Поиск;88500;2024;126;54648
2025-09-07;Ozon;ДетиНосят;Каталог;99534;5299;742;397425
2025-05-11;Wildberries;ДетиНеВыносят;Брендовая реклама;59985;3791;302;219878
2025-02-14;Lamoda;ДетиНеВыносят;Брендовая реклама;126271;9842;1282;442890
2025-04-17;Ozon;ДетиНосят;Авто-реклама;35643;1314;132;101178
2025-01-14;Ozon;ДетиНосят;Каталог;115487;8410;904;639160
2025-05-24;Ozon;ДетиНеВыносят;Продвижение карточки;124186;9356;945;477156
2025-04-01;Lamoda;ДетиНеВыносят;Продвижение карточки;68943;5113;689;291441
2025-07-16;Wildberries;ДетиНосят;Продвижение карточки;56406;2775;228;111000
2025-04-13;Lamoda;ДетиНосят;Каталог;119735;8410;1106;193430
2025-05-06;Wildberries;ДетиНеВыносят;Продвижение карточки;4107;121;10;4356
2025-02-02;Яндекс Маркет;ДетиПоносят;Продвижение карточки;172830;6418;687;417170
2025-04-13;Wildberries;ДетиПоносят;Брендовая реклама;138177;2978;336;238240
2025-12-29;Ozon;ДетиПоносят;Каталог;59146;4195;451;289455
2025-06-28;Яндекс Маркет;ДетиПоносят;Брендовая реклама;62741;3550;181;266250
2025-03-09;Lamoda;ДетиНосят;Каталог;9379;454;27;6810
2025-02-25;Ozon;ДетиНосят;Брендовая реклама;142475;8253;344;107289
2025-07-19;Яндекс Маркет;ДетиПоносят;Авто-реклама;61256;4239;279;322164
2025-10-30;Яндекс Маркет;ДетиНосят;Каталог;2053;70;10;3850
2025-01-05;Ozon;ДетиПоносят;Брендовая реклама;84429;1335;102;21360
2025-02-16;Wildberries;ДетиНеВыносят;Каталог;57865;2860;130;128700
2025-10-06;Ozon;ДетиНосят;Продвижение карточки;108802;3891;307;155640
2025-11-15;Lamoda;ДетиПоносят;Продвижение карточки;33565;2236;88;87204
2025-01-02;Ozon;ДетиНосят;Поиск;195763;5936;784;338352
2025-05-13;Яндекс Маркет;ДетиНосят;Авто-реклама;82238;5871;226;311163
2025-12-29;Wildberries;ДетиНосят;Брендовая реклама;38693;2554;232;173672
2025-11-10;Lamoda;ДетиНосят;Каталог;171483;7528;234;338760
2025-02-06;Яндекс Маркет;ДетиНеВыносят;Авто-реклама;184603;5496;254;384720
2025-03-27;Lamoda;ДетиНосят;Авто-реклама;31934;1767;125;88350
2025-03-13;Lamoda;ДетиНеВыносят;Каталог;15699;1165;45;52425
2025-09-17;Яндекс Маркет;ДетиПоносят;Поиск;54591;4111;378;234327
2025-10-30;Lamoda;ДетиНеВыносят;Брендовая реклама;84032;3303;302;72666
2025-03-28;Lamoda;ДетиНеВыносят;Продвижение карточки;193452;9276;500;695700
2025-06-05;Wildberries;ДетиПоносят;Авто-реклама;45669;1640;227;93480
2025-12-16;Wildberries;ДетиНеВыносят;Поиск;39786;1095;148;65700
2025-12-20;Lamoda;ДетиНеВыносят;Продвижение карточки;141285;4282;482;64230
2025-12-16;Яндекс Маркет;ДетиПоносят;Поиск;24909;1045;137;78375
2025-09-20;Ozon;ДетиПоносят;Брендовая реклама;129089;1981;96;59430
2025-02-25;Wildberries;ДетиПоносят;Авто-реклама;110846;3425;342;106175
2025-06-08;Ozon;ДетиПоносят;Поиск;124342;4507;529;211829
2025-07-08;Lamoda;ДетиПоносят;Продвижение карточки;34660;1466;142;109950
2025-05-20;Яндекс Маркет;ДетиПоносят;Авто-реклама;72963;2825;152;28250
2025-08-07;Ozon;ДетиНеВыносят;Поиск;134128;9789;394;655863
2025-05-01;Lamoda;ДетиНеВыносят;Поиск;65661;1534;131;64428
2025-11-03;Wildberries;ДетиНеВыносят;Продвижение карточки;40416;2486;118;159104
2025-09-30;Lamoda;ДетиНеВыносят;Брендовая реклама;40906;1202;136;92554
2025-05-24;Яндекс Маркет;ДетиНосят;Брендовая реклама;136451;5267;467;379224
2025-12-05;Wildberries;ДетиНеВыносят;Каталог;91651;1710;208;102600
2025-01-06;Lamoda;ДетиПоносят;Поиск;14713;350;13;15400
2025-09-28;Ozon;ДетиНеВыносят;Поиск;93719;3362;291;84050
2025-08-16;Lamoda;ДетиНосят;Каталог;130723;5433;201;380310
2025-06-18;Яндекс Маркет;ДетиНосят;Авто-реклама;193595;10703;925;599368
2025-07-25;Ozon;ДетиНеВыносят;Авто-реклама;85711;6621;635;489954
2025-05-22;Яндекс Маркет;ДетиНеВыносят;Брендовая реклама;88239;1736;106;138880
2025-02-19;Wildberries;ДетиПоносят;Каталог;22240;691;39;12438
2025-01-08;Ozon;ДетиНосят;Авто-реклама;13629;907;81;48978
2025-07-15;Lamoda;ДетиНеВыносят;Авто-реклама;168193;4010;350;320800
2025-06-05;Ozon;ДетиНосят;Продвижение карточки;103020;5911;275;449236
2025-06-16;Lamoda;ДетиНосят;Поиск;142824;4638;321;320022
2025-10-14;Wildberries;ДетиНеВыносят;Продвижение карточки;197165;10806;1134;615942
2025-01-30;Wildberries;ДетиНеВыносят;Каталог;82626;5332;354;229276
2025-03-24;Ozon;ДетиНеВыносят;Авто-реклама;63753;3621;434;253470
2025-11-20;Ozon;ДетиНеВыносят;Поиск;30541;2425;254;123675
2025-03-22;Wildberries;ДетиПоносят;Продвижение карточки;187406;2770;318;166200
2025-03-08;Яндекс Маркет;ДетиНосят;Брендовая реклама;52251;1889;104;39669
2025-10-01;Ozon;ДетиПоносят;Каталог;146461;6101;204;463676
2025-11-17;Wildberries;ДетиПоносят;Авто-реклама;31705;591;58;34278
2025-01-09;Ozon;ДетиНосят;Продвижение карточки;3043;135;13;6750
2025-01-25;Wildberries;ДетиНеВыносят;Поиск;9700;471;20;10362
2025-05-21;Lamoda;ДетиПоносят;Брендовая реклама;107786;8068;846;580896
2025-03-01;Lamoda;ДетиПоносят;Продвижение карточки;191424;1918;141;136178
2025-03-04;Ozon;ДетиПоносят;Поиск;189592;7493;663;472059
2025-03-26;Яндекс Маркет;ДетиНосят;Каталог;60889;1669;223;28373
2025-05-20;Яндекс Маркет;ДетиНосят;Поиск;47750;2827;215;178101
2025-04-29;Ozon;ДетиПоносят;Брендовая реклама;23301;956;130;55448
2025-08-18;Lamoda;ДетиПоносят;Авто-реклама;91533;4002;452;248124
2025-01-29;Lamoda;ДетиПоносят;Авто-реклама;34895;806;54;8060
2025-05-03;Lamoda;ДетиНеВыносят;Каталог;31478;1934;278;87030
2025-05-27;Lamoda;ДетиНеВыносят;Поиск;174944;12948;1333;673296
2025-01-26;Ozon;ДетиПоносят;Авто-реклама;85398;4176;349;208800
2025-09-15;Lamoda;ДетиНеВыносят;Поиск;49535;1062;37;61596
2025-12-21;Wildberries;ДетиНосят;Продвижение карточки;141192;10910;777;414580
2025-04-27;Яндекс Маркет;ДетиНеВыносят;Продвижение карточки;97448;7507;734;217703
2025-07-18;Ozon;ДетиНеВыносят;Продвижение карточки;106046;7392;992;561792
2025-05-21;Wildberries;ДетиНеВыносят;Продвижение карточки;176634;11549;1056;369568
2025-01-27;Ozon;ДетиПоносят;Поиск;101297;3359;176;147796
2025-11-07;Яндекс Маркет;ДетиНеВыносят;Каталог;23105;1178;107;57722
2025-06-07;Wildberries;ДетиНосят;Авто-реклама;137035;2781;183;27810
2025-08-01;Lamoda;ДетиПоносят;Авто-реклама;195794;5463;314;60093
2025-12-12;Яндекс Маркет;ДетиНеВыносят;Брендовая реклама;60443;4401;292;149634
2025-05-14;Яндекс Маркет;ДетиНосят;Авто-реклама;28541;2193;294;175440
2025-09-15;Wildberries;ДетиНеВыносят;Каталог;135797;4435;343;44350
2025-12-23;Яндекс Маркет;ДетиНосят;Поиск;169864;10812;1155;486540
2025-05-06;Lamoda;ДетиНосят;Каталог;171563;7050;245;303150
2025-07-27;Lamoda;ДетиНеВыносят;Продвижение карточки;54005;2258;193;99352
2025-06-10;Wildberries;ДетиНеВыносят;Каталог;83508;3903;467;66351
2025-09-07;Яндекс Маркет;ДетиНеВыносят;Брендовая реклама;37180;828;82;35604
2025-02-20;Яндекс Маркет;ДетиНеВыносят;Каталог;178155;12003;608;540135
2025-02-03;Яндекс Маркет;ДетиПоносят;Брендовая реклама;141707;5248;300;215168
2025-07-12;Lamoda;ДетиНосят;Поиск;106424;2187;307;109350
2025-12-19;Яндекс Маркет;ДетиПоносят;Авто-реклама;49933;1294;55;81522
2025-02-01;Wildberries;ДетиНеВыносят;Брендовая реклама;164872;9024;1350;360960
2025-11-01;Wildberries;ДетиНосят;Брендовая реклама;175532;13755;1744;398895
2025-10-18;Wildberries;ДетиПоносят;Брендовая реклама;55838;592;38;31968
2025-12-04;Wildberries;ДетиНосят;Продвижение карточки;15817;1132;147;26036
2025-02-11;Wildberries;ДетиПоносят;Каталог;50301;3745;161;273385
2025-01-17;Lamoda;ДетиПоносят;Брендовая реклама;78398;4650;545;74400
2025-03-09;Lamoda;ДетиНеВыносят;Брендовая реклама;66102;1247;74;93525
2025-05-20;Ozon;ДетиНеВыносят;Продвижение карточки;143268;6766;602;121788
2025-11-02;Яндекс Маркет;ДетиНосят;Продвижение карточки;77711;1140;155;80940
2025-01-15;Lamoda;ДетиНеВыносят;Авто-реклама;133000;1875;204;28125
2025-11-15;Ozon;ДетиНеВыносят;Брендовая реклама;162544;7032;435;548496
2025-04-21;Яндекс Маркет;ДетиПоносят;Авто-реклама;28945;1018;102;80422
2025-02-27;Wildberries;ДетиНосят;Каталог;121198;1890;151;107730
2025-01-27;Wildberries;ДетиНосят;Продвижение карточки;11495;842;85;53888
2025-02-27;Ozon;ДетиНеВыносят;Брендовая реклама;65877;4495;521;89900
2025-05-10;Яндекс Маркет;ДетиПоносят;Каталог;159956;1683;99;67320
2025-03-04;Ozon;ДетиПоносят;Брендовая реклама;115299;3442;203;161774
2025-01-21;Яндекс Маркет;ДетиПоносят;Каталог;53333;1548;187;82044
2025-07-15;Яндекс Маркет;ДетиНеВыносят;Продвижение карточки;137290;9209;1186;313106
2025-05-31;Ozon;ДетиПоносят;Поиск;79275;2537;322;55814
2025-11-08;Wildberries;ДетиНосят;Авто-реклама;121103;2224;244;102304
2025-11-01;Ozon;ДетиНосят;Продвижение карточки;94532;3606;538;176694
2025-12-11;Wildberries;ДетиНосят;Авто-реклама;104150;8014;693;392686
2025-06-14;Ozon;ДетиНеВыносят;Продвижение карточки;176006;13514;1784;527046
2025-12-28;Lamoda;ДетиПоносят;Авто-реклама;187042;4436;294;261724
2025-09-06;Lamoda;ДетиНеВыносят;Каталог;171585;5713;469;131399
2025-07-31;Яндекс Маркет;ДетиНеВыносят;Брендовая реклама;107521;8219;1083;90409
2025-11-30;Lamoda;ДетиПоносят;Продвижение карточки;107483;7212;532;281268
2025-04-06;Ozon;ДетиПоносят;Авто-реклама;117318;8346;714;200304
2025-10-01;Ozon;ДетиНосят;Каталог;58757;4389;336;136059
2025-06-10;Lamoda;ДетиНосят;Каталог;53944;3768;389;154488
2025-07-22;Lamoda;ДетиПоносят;Продвижение карточки;37282;1047;67;80619
2025-08-01;Яндекс Маркет;ДетиНеВыносят;Продвижение карточки;170934;5710;180;251240
2025-07-17;Wildberries;ДетиНосят;Каталог;144174;8565;982;488205
2025-08-25;Wildberries;ДетиНосят;Брендовая реклама;98525;1761;150;84528
2025-10-11;Lamoda;ДетиНеВыносят;Брендовая реклама;98509;6808;385;265512
2025-12-22;Lamoda;ДетиНосят;Брендовая реклама;65771;2499;132;189924
2025-06-10;Яндекс Маркет;ДетиПоносят;Продвижение карточки;138707;5490;535;312930
2025-05-18;Яндекс Маркет;ДетиНосят;Авто-реклама;184252;11379;1132;898941
2025-11-20;Wildberries;ДетиНеВыносят;Поиск;88910;3633;242;156219
2025-04-05;Wildberries;ДетиНосят;Продвижение карточки;91397;1426;126;28520
2025-01-26;Ozon;ДетиНеВыносят;Брендовая реклама;62644;2856;114;42840
2025-09-01;Lamoda;ДетиНеВыносят;Брендовая реклама;42033;1667;65;35007
2025-05-07;Lamoda;ДетиНеВыносят;Каталог;63732;1580;181;85320
2025-04-25;Lamoda;ДетиНеВыносят;Продвижение карточки;80421;5209;465;281286
2025-02-01;Wildberries;ДетиПоносят;Авто-реклама;96971;7698;522;284826
2025-02-04;Wildberries;ДетиНеВыносят;Поиск;56811;588;87;12936
2025-08-11;Яндекс Маркет;ДетиНосят;Каталог;179274;9419;1008;405017
2025-01-11;Lamoda;ДетиПоносят;Поиск;141099;5376;557;301056
2025-12-05;Wildberries;ДетиНосят;Поиск;166879;5724;576;326268
2025-12-18;Lamoda;ДетиНосят;Продвижение карточки;150716;6580;500;105280
2025-11-30;Wildberries;ДетиПоносят;Авто-реклама;166899;9301;541;213923
2025-10-27;Яндекс Маркет;ДетиНеВыносят;Авто-реклама;94411;1134;100;36288
2025-05-16;Яндекс Маркет;ДетиНеВыносят;Поиск;148821;7144;277;321480
2025-08-20;Wildberries;ДетиНеВыносят;Продвижение карточки;138063;2118;300;114372
2025-07-27;Ozon;ДетиНеВыносят;Продвижение карточки;53050;3297;308;263760
2025-01-13;Яндекс Маркет;ДетиПоносят;Авто-реклама;154366;3682;344;147280
2025-08-09;Wildberries;ДетиНеВыносят;Авто-реклама;75391;894;123;26820
2025-01-03;Ozon;ДетиПоносят;Продвижение карточки;18702;1076;133;52724
2025-11-07;Яндекс Маркет;ДетиПоносят;Продвижение карточки;57259;3697;484;48061
2025-03-08;Wildberries;ДетиНеВыносят;Поиск;168988;6846;355;314916
2025-07-21;Wildberries;ДетиПоносят;Поиск;34441;905;128;10860
2025-05-17;Wildberries;ДетиПоносят;Авто-реклама;30464;351;49;10530
2025-12-15;Яндекс Маркет;ДетиНосят;Продвижение карточки;49204;2006;137;56168
2025-07-05;Яндекс Маркет;ДетиНеВыносят;Каталог;60136;947;44;10417
2025-09-11;Lamoda;ДетиНосят;Поиск;189867;8392;1254;545480
2025-11-30;Ozon;ДетиНосят;Авто-реклама;110983;3788;476;79548
2025-03-06;Lamoda;ДетиПоносят;Поиск;13975;143;7;9295
2025-01-04;Ozon;ДетиНосят;Поиск;83935;1054;74;69564
2025-06-03;Ozon;ДетиПоносят;Авто-реклама;183326;8415;810;454410
2025-03-02;Wildberries;ДетиНеВыносят;Авто-реклама;118044;1563;102;104721
2025-06-22;Wildberries;ДетиНосят;Брендовая реклама;72991;3268;432;232028
2025-07-02;Яндекс Маркет;ДетиНосят;Поиск;176087;7648;611;573600
2025-08-12;Lamoda;ДетиНеВыносят;Каталог;72925;2922;381;195774
2025-12-23;Яндекс Маркет;ДетиНеВыносят;Продвижение карточки;111502;3361;361;60498
2025-08-03;Ozon;ДетиНосят;Поиск;29743;1406;78;33744
2025-03-05;Lamoda;ДетиНеВыносят;Каталог;123489;1641;187;108306
2025-09-08;Lamoda;ДетиНеВыносят;Брендовая реклама;78454;2650;95;166950
2025-10-23;Wildberries;ДетиПоносят;Каталог;51496;1099;49;25277
2025-03-13;Ozon;ДетиНосят;Брендовая реклама;166514;6670;591;173420
2025-09-27;Яндекс Маркет;ДетиНосят;Брендовая реклама;127823;9842;988;147630
2025-07-18;Яндекс Маркет;ДетиПоносят;Каталог;93096;6431;911;289395
2025-02-04;Lamoda;ДетиНеВыносят;Брендовая реклама;63369;2087;168;129394
2025-03-22;Lamoda;ДетиНосят;Каталог;149400;5745;579;132135
2025-02-08;Wildberries;ДетиПоносят;Брендовая реклама;42041;3308;432;119088
2025-05-20;Ozon;ДетиПоносят;Поиск;151262;11662;1396;804678
2025-09-03;Ozon;ДетиНеВыносят;Каталог;148615;5313;443;148764
2025-04-08;Lamoda;ДетиПоносят;Авто-реклама;66949;3271;165;238783
2025-02-02;Яндекс Маркет;ДетиПоносят;Брендовая реклама;199901;8882;657;373044
2025-02-27;Wildberries;ДетиПоносят;Каталог;6393;334;30;25384
2025-04-05;Lamoda;ДетиНеВыносят;Каталог;54368;3935;434;51155
2025-07-19;Wildberries;ДетиПоносят;Продвижение карточки;3423;116;15;2204
2025-11-09;Яндекс Маркет;ДетиПоносят;Продвижение карточки;71148;3734;499;190434
2025-10-31;Ozon;ДетиНеВыносят;Каталог;126346;5780;677;439280
2025-11-09;Wildberries;ДетиНосят;Каталог;132557;9749;654;321717
2025-11-21;Яндекс Маркет;ДетиПоносят;Каталог;92648;4499;317;233948
2025-05-17;Lamoda;ДетиПоносят;Каталог;164880;12810;855;730170
2025-10-10;Ozon;ДетиПоносят;Поиск;117439;4049;472;97176
2025-07-21;Lamoda;ДетиНеВыносят;Продвижение карточки;144237;4085;183;281865
2025-09-18;Яндекс Маркет;ДетиНеВыносят;Продвижение карточки;29677;942;97;39564
2025-06-05;Ozon;ДетиНеВыносят;Поиск;57582;1994;254;75772
2025-04-13;Lamoda;ДетиПоносят;Поиск;169650;5165;611;366715
2025-08-04;Wildberries;ДетиНосят;Продвижение карточки;31078;871;80;45292
2025-10-06;Lamoda;ДетиНосят;Поиск;96707;1689;158;126675
2025-02-21;Lamoda;ДетиПоносят;Каталог;96447;3740;303;44880
2025-07-07;Wildberries;ДетиПоносят;Брендовая реклама;54795;2879;198;95007
2025-04-10;Lamoda;ДетиНосят;Авто-реклама;164162;6117;798;244680
2025-06-18;Яндекс Маркет;ДетиНосят;Поиск;161836;7947;350;270198
2025-06-23;Ozon;ДетиНеВыносят;Продвижение карточки;72940;2605;99;187560
2025-04-18;Яндекс Маркет;ДетиНеВыносят;Продвижение карточки;20863;1282;112;26922
2025-07-10;Ozon;ДетиНеВыносят;Поиск;118905;4010;478;212530
2025-10-12;Lamoda;ДетиНосят;Поиск;169458;7955;404;596625
2025-08-08;Lamoda;ДетиПоносят;Каталог;147701;6137;483;460275
2025-08-28;Wildberries;ДетиПоносят;Авто-реклама;143652;8139;541;480201
2025-01-01;Ozon;ДетиПоносят;Брендовая реклама;140340;4347;199;317331
2025-10-23;Ozon;ДетиНеВыносят;Поиск;93106;5820;598;314280
2025-07-13;Wildberries;ДетиПоносят;Брендовая реклама;182102;10134;1440;334422
2025-08-13;Яндекс Маркет;ДетиНеВыносят;Каталог;104822;1893;71;39753
2025-11-02;Wildberries;ДетиПоносят;Каталог;4948;368;40;8464
2025-09-11;Lamoda;ДетиПоносят;Брендовая реклама;20085;803;76;40953
2025-10-07;Wildberries;ДетиНеВыносят;Брендовая реклама;29826;796;24;19104
2025-02-02;Яндекс Маркет;ДетиНосят;Брендовая реклама;61596;619;73;27236
2025-02-26;Lamoda;ДетиПоносят;Авто-реклама;72573;4418;291;97196
2025-06-20;Lamoda;ДетиНеВыносят;Брендовая реклама;171416;5837;200;204295
2025-07-11;Lamoda;ДетиПоносят;Брендовая реклама;185793;9329;766;457121
2025-01-04;Ozon;ДетиНосят;Продвижение карточки;88797;2143;260;96435
2025-01-14;Яндекс Маркет;ДетиНеВыносят;Каталог;106274;1930;275;152470
2025-01-02;Wildberries;ДетиНеВыносят;Продвижение карточки;136372;5917;363;106506
2025-03-30;Wildberries;ДетиНосят;Авто-реклама;161552;9749;571;341215
2025-11-07;Lamoda;ДетиНосят;Авто-реклама;108097;1616;124;29088
2025-06-16;Wildberries;ДетиПоносят;Продвижение карточки;50626;3223;105;128920
2025-01-01;Lamoda;ДетиНеВыносят;Авто-реклама;33262;1467;107;77751
2025-03-16;Яндекс Маркет;ДетиНеВыносят;Брендовая реклама;37152;2747;232;68675
2025-08-23;Яндекс Маркет;ДетиНеВыносят;Каталог;55419;1687;206;82663
2025-08-20;Lamoda;ДетиНосят;Продвижение карточки;63227;2584;263;36176
2025-02-17;Ozon;ДетиНосят;Авто-реклама;56411;727;60;51617
